Соотношение матрица-наполнитель;Плотность, кг/м3;модуль упругости, ГПа;Количество отвердителя, м.%;Содержание эпоксидных групп,%_2;Температура вспышки, С_2;Поверхностная плотность, г/м2;Модуль упругости при растяжении, ГПа;Прочность при растяжении, МПа;Потребление смолы, г/м2;Угол нашивки, град;Шаг нашивки;Плотность нашивки
0,912690142;0,279826359;0,32639345;0,630983046;0,418886958;0,583596243;0,293937839;0,595485951;0,223847081;0,190659054;0;0,727457589;0,727399326
0,488795547;0,571539346;0,12299071;0,511256821;0,49565306;0,509164256;0,782031312;0,784595867;0,305304195;0,800071384;1;0,289333985;0,335839977
0,220439905;0,359384446;0,275390972;0,511256821;0,49565306;0,509164256;0,363665478;0,490424886;0,490845399;0,52922146;1;0,289333985;0,506083172
0,730420779;0,253306996;0,376181583;0,511256821;0,49565306;0,509164256;0,363665478;0,490424886;0,490845399;0,52922146;1;0,289333985;0,557156131
0,427955208;0,44762743;0,688630132;0,691247245;0,501435945;0,267751355;0,430211563;0,961301544;0,544520516;0,619323467;1;0,289333985;0,727399326
0,409613641;0,419307005;0,545898368;0,751493063;0,557036877;0,831460105;0,669479656;0,669747844;1;0,550289387;1;0,362354585;0,335839977
0,314486729;0,67133651;0,42813786;0,439709235;0,56191163;0,643139476;0,423787142;0,520917807;0,559461145;0,387697485;1;0,362354585;0,506083172
0,274628295;0,619858504;0,506295208;0,675700138;0,809974986;0,716693623;0,116489867;0,734844929;0,498026511;0,201982482;1;0,362354585;0,557156131
0,578621255;0,353835286;0,288922565;0,468835246;0,164278841;0,719810327;0,407587816;0,428168355;0,73663305;0,717380494;1;0,362354585;0,727399326
0,453592463;0,285318847;0,387749764;0,404406357;0,550063084;0,404377932;0,622891627;0,564683679;0,422996437;0,213736615;1;0,508395787;0,335839977
0,364070558;0,593703147;0,237726446;0,773291231;0,449940918;0,731151082;0,414312116;0,421815225;0,592214511;0,668292982;1;0,508395787;0,506083172
0,300151752;0,501605391;0,600667833;0,77328631;0,30580155;0,254888395;0,375638316;0,637449476;0,488152232;0,334526726;1;0,508395787;0,557156131
0,256788105;0,233395092;0,484886008;0,287273419;0,497798482;0,780684582;0,669637473;0,340035744;0,629823391;0,202022103;1;0,508395787;0,727399326
0,572653159;0,598183381;0,204686007;0,201386584;0,647453455;0,365636344;0,090592856;0,121368898;0,493716693;0,485271256;1;0,654436988;0,335839977
0,511243478;0,339005474;0,716861042;0,662758698;0,570766143;0,656148685;0,29191497;0,613795082;0,429025599;0,463473485;1;0,654436988;0,506083172
0,4969334;0,253227029;0,607678296;0,492952333;0,7532027;0,554802592;0,315905329;0,387518978;0,747838781;0,435071189;1;0,654436988;0,557156131
0,5664708;0,076249412;0,458680811;0,298347207;0,582732827;0,482384389;0,445063088;0,238769989;0,789214988;0,640508848;1;0,654436988;0,727399326
0,393661008;0,330055625;0,320460578;0,136867289;0,631837144;0,705219205;0,353522466;0,547852578;0,26070879;0,538360909;1;0,727457589;0,335839977
0,954864326;0,511443944;0,953053638;0,654334967;0,731650986;0,518555191;0,534393474;0,427911855;0,055466662;0,704940067;1;0,727457589;0,506083172
0,397919948;0,798268856;0,563986451;0,502209877;0,587610536;0,43984126;0,21509139;0,373537758;0,606789042;0,42041215;1;0,727457589;0,557156131
0,444811398;0,780762997;0,934882435;0,652968268;0,524482254;0,864073704;0,609493536;0,688262549;0,533238732;0,339297356;1;0,727457589;0,727399326
0,521740615;0,487741841;0,275312658;0,158932694;0,587880775;0,663011242;0,493340984;0,601182681;0,65088196;0,837490648;0;0,570913582;0,630394138
0,444117366;0,561353644;0,317320943;0,271293633;0,183285051;0,2130414;0,021735161;0,248139793;0,395146278;0,850099629;0;0,484721072;0,87420513
0,135551101;0,481185828;0,544734877;0,449082089;0,291934828;0,224660229;0,674409765;0,498075087;0,441965524;0,092637269;0;0,546833708;0,185633986
0,496552355;0,702474465;0,230620121;0,298152855;0,052469296;0,260877314;0,434936523;0,26861672;0,412332475;0,81048371;0;0,60519914;0,319589032
0,790532891;0,341827772;0,498173886;0,732805779;0,64707478;0,46259005;0,201633429;0,655832726;0,158645762;0,624846142;0;0,556312699;0,107220791
0,375734468;0,47435002;0,699901904;0,777782693;0,196356301;0,660541915;0,498753591;0,362501889;0,878645622;0,815046927;0;0,749578794;0,203633875
0,157502662;0,530464494;0,852075276;0,644553866;0,462572843;0,530145622;0,12427323;0,575371795;0,519868039;0,559244225;0;0,650558946;0,762888122
0,332942622;0,535337904;0,489901203;0,394108286;0,276715922;0,126396606;0,151660639;0,679968111;0,492461903;0,766070041;0;0,270832388;0,523069565
0,755351844;0,549766389;0,757606211;0,546158079;0,443267384;0,683938839;0,584857474;0,302710015;0,222103637;0,427257661;0;0,66132748;0,298413723
0,526656051;0,537753304;0,24345081;0,517262873;0,278645552;0,758954278;0,272889376;0,470452077;0,312025888;0,484170243;0;0,457556862;0,764035981
0,7625186;0,414383581;0,209811348;0,512023606;0,234130975;0,603870157;0,177669586;0,45488104;0,345083553;0,550966122;0;0,527232315;0,390655486
0,15810219;0,725190391;0,569176787;0,682142429;0,575704247;0,547918871;0,405383717;0,241400709;0,534013226;0,52692591;0;0,446045345;0,733449843
0,647095415;0,745288587;0,334663706;0,57297714;0,658863241;0,627035251;0,18094937;0,26783352;0,435969014;0,685428402;0;0,731161068;0,79816373
0,713894969;0,778616291;0,349752712;0,442280633;0,590207247;0,409119598;0,15523481;0,654073857;0,584047973;0,873143931;0;0,721070202;0,746889041
0,853746531;0,325548077;0,517599238;0,481737152;0,796812667;0,558199995;0,360187175;0,592658033;0,593699965;0,628845378;0;0,409592663;0,828733365
0,778094768;0,532917273;0,290853835;0,332422219;0,426507556;0,293765277;0,047038354;0,380910964;0,776248541;0,731161894;0;0,453999651;0,095435105
0,822354261;0,693316217;0,427830133;0,01142991;0,492824084;0,291264385;0,500079253;0,520028999;0,597940933;0,69391361;0;0,531064121;0,622892239
0,539315838;0,287139869;0,586372007;0,864745682;0,623842212;0,390991814;0,134193996;0,354910468;0,306136649;0,420509628;0;0,381113512;0,679442776
0,446671681;0,713231723;0,155995225;0,471688767;0,34809379;0,587246981;0,322714655;0,355162145;0,36436707;0,815065876;0;0,165392843;0,656027404
0,551397154;0,49335533;0,438465238;0,787567933;0,491015484;0,649525748;0,318301273;0,504358121;0,511115973;0,479123694;0;0,493329985;0,34086187
0,325243523;0,622101071;0,655124251;0,679525089;0,437538394;0,887801899;0,026252585;0,551152337;0,655680143;0,415991504;0;0,455904904;0,766434047
0,891029996;0,353506697;0,462877967;0,370158;0,526464362;0,668135136;0,326531825;0,222072791;0,407211573;0,871663458;0;0,361265363;0,187853395
0,422620285;0,456411337;0,248165485;0,31866747;0,80623005;0,414088704;0,520448058;0,286788881;0,71450261;0,444083365;0;0,449346239;0,077140821
0,242891306;0,554630831;0,201858395;0,536559437;0,661068495;0,594958455;0,130154639;0,518655489;0,152458283;0,743494245;0;0,565549835;0,465800527
0,811195892;0,610319453;0,367111421;0,45703676;0,383336876;0,232899902;0,506644948;0,724495993;0,403648839;0,736661787;0;0,961051001;0,665482265
0,609519801;0,222408611;0,348557462;0,340307712;0,575187682;0,541693972;0,262124325;0,506844909;0,69544936;0,559393208;0;0,368404753;0,393822218
0,447799508;0,155669499;0,718622634;0,476078042;0,274285484;0,682114139;0,057824573;0,356894308;0,866270032;0,097377884;0;0,772941126;0,345199462
0,539702991;0,683663962;0,363291084;0,347475067;0,557313276;0,489946425;0,250768219;0,250424325;0,372257436;0,252361107;0;0,347448329;0,172487588
0,666651099;0,596464153;0,583090249;0,765911747;0,088525385;0,531519979;0,308596012;0,230166063;0,035446833;0,368571123;0;0,375712633;0,889369899
0,304996477;0,593578846;0,031054054;0,507060642;0,534661387;0,629944094;0,686809927;0,437046258;0,645620264;0,263783171;0;0,539188877;0,527167853
0,417784985;0,385048641;0,692996295;0,858405179;0,530145117;0,600675096;0,69243511;0,615726904;0,278552063;0,231023104;0;0,329197734;0,613773975
0,762263198;0,752580114;0,511523681;0,553148687;0,176760113;0,813929519;0,313032314;0,255113494;0,767208184;0,529205721;0;0,368295349;0,598391316
0,387258311;0,714553807;0,430130018;0,672597671;0,485289792;0,606978676;0,279299947;0,409366577;0,632019742;0,5773275;0;0,330843466;0,431866923
0,292154953;0,490983102;0,758572605;0,375459959;0,493904239;0,544580688;0,437529909;0,22871352;0,613672442;0,501840667;0;0,672369784;0,227022275
0,507351849;0,44429387;0,062367262;0,459752733;0,618652248;0,624594071;0,626156154;0,647521698;0,061078633;0,801762936;0;0,847506985;0,130349149
0,815184844;0,437496134;0,38646696;0,529895948;0,761956653;0,492226171;0,226878794;0,711225216;0,44030695;0,282094829;0;0,497080248;0,382722543
0,492881646;0,384631371;0,233370505;0,758842321;0,515377244;0,61675739;0,160309589;0,223203268;0,252348961;0,254876597;0;0,580258692;0,404939446
0,41512891;0,546678137;0,283704459;0,481372386;0,711249584;0,705316893;0,349614866;0,388088862;0,307313247;0,447893997;0;0,327049076;0,318258665
0,663823937;0,13647877;0,795292323;0,536650726;0,638932801;0,386484193;0,005029388;0,599471278;0,647804825;0,558028561;0;0,418169855;0,784490828
0,606241201;0,249313256;0,684170855;0,722703944;0,666590959;0,326255719;0,379151433;0,370532349;0,309513222;0,31343318;0;0,149228943;0,538656198
0,504564751;0,610669327;0,588133331;0,42672194;0,340347995;0,56979295;0,44484865;0,276139713;0,67288315;0,610596554;0;0,634388222;0,67652569
0,494238735;0,623520306;0,16737909;0,400787877;0,303142713;0,602071759;0,79102625;0,783118339;0,144077963;0,601397417;0;0,477812776;0,045559538
0,820208063;0,617164365;0,593664183;0,426142462;0,756196082;0,545383569;0,232159307;0,518759511;0,527825465;0,434961988;0;0,345138453;0,735829053
0,104257657;0,434686806;0,649415456;0,610220851;0,426045379;0,8570963;0,170933367;0,239037253;0,483162344;0,369994412;0;0,457591685;0,529950806
0,415316533;0,629501113;0,533522497;0,656503626;0,509185162;0,36680649;0,149872594;0,4234705;0,799966696;0,531110326;0;0,405627572;0,980055338
0,581534779;0,77102118;0,046434972;0,714379079;0,654231124;0,39726697;0,784378504;0,549692926;0,323242506;0,806049565;0;0,65627125;0,48861389
0,694603609;0,236414572;0,594680589;0,445382098;0,312514964;0,316545819;0,678855744;0,656725371;0,269890425;0,43509221;0;0,736055809;0,754548116
0,334866477;0,372285671;0,57981401;0,54543975;0,473853628;0,749702339;0,526324732;0,092863831;0,359713941;0,160379803;0;0,799872343;0,184585683
0,313412769;0,484124968;0,276075373;0,646458666;0,463772312;0,783954042;0,629118066;0,658618905;0,538936457;0,594365174;0;0,751570125;0,634957084
0,630413878;0,535877274;0,495269452;0,44667844;0,155034783;0,372346014;0,320444146;0,43876093;0,479511198;0,724730748;0;0,509609566;0,364230488
0,781367547;0,243144898;0,33912036;0,173535586;0,780076827;0,532768911;0,18368153;0,686248665;0,368784654;0,423443813;0;0,547414871;0,174026137
0,689361173;0,364469904;0,814317683;0,616447915;0,418537833;0,602188565;0,03825105;0,323085188;0,744304846;0,491740725;0;0,865595824;0,376046027
0,43223832;0,595497755;0,150645633;0,284146161;0,465967999;0,12884161;0,425724948;0,555827668;0,312707932;0,374666925;0;0,668781923;0,37210496
0,612141556;0,59752059;0,642977681;0,22878112;0,476343731;0,805919283;0,358561027;0,227526339;0,73337799;0,325944985;0;0,687613914;0,195461011
0,335903038;0,514663695;0,548081365;0,736879269;0,401210063;0,646604808;0,274794854;0,252606703;0,825677023;0,379920951;0;0,103158816;0,471846155
0,537156971;0,540516905;0,106010828;0,093642555;0,096626441;0,545244629;0,614556474;0,601962781;0,456559112;0,370082606;0;0,523482911;0,240306939
0,722555176;0,257593818;0,40127779;0,592607556;0,952476294;0,1976414;0,280866241;0,394690025;0,437147493;0,849836217;0;0,697772123;0,146556828
0,37169441;0,109976464;0,546012684;0,516120769;0,35746218;0,479234003;0,383408784;0,426899989;0,468838441;0,219341736;0;0,677253219;0,752728567
0,389371268;0,621817753;0,004583727;0,143239459;0,513245382;0,67161254;0,083552685;0,224563393;0,453268821;0,537033135;0;0,014751723;0,712985727
0,448216628;0,562713852;0,64892943;0,433312417;0,562120936;0,529207781;0,277165277;0,270358202;0,487185174;0,307258396;0;0,571222495;0,763647996
0,957337176;0,469164928;0,650703231;0,514514957;0,905920977;0,422699529;0,538640014;0,376528945;0,460557329;0,734160397;0;0,754478193;0,832433545
0,761666523;0,393210021;0,437981602;0,484611611;0,285047601;0,233589955;0,063230034;0,793629483;0,837725995;0,471423692;0;0,487038908;0,37402264
0,650610985;0,593469033;0,582789199;0,564691623;0,190214167;0,602175079;0,008860637;0,493974221;0,584014835;0,486378311;0;0,720381127;0,307229413
0,617353349;0,535314189;0,76220902;0,384744859;0,671034287;0,767933632;0,058942287;0,669830273;0,552098736;0,670806456;0;0,268049588;0,870063218
0,643580778;0,222578033;0,484470205;0,772604802;0,458502706;0,4977961;0,068542526;0,543171061;0,526556749;0,313846598;0;0,477955185;0,387799878
0,497717834;0,335335187;0,336587357;0,684270695;0,444768965;0,698724702;0,262384766;0,166049397;0,440397524;0,425381688;0;0,31695816;0,968000259
0,537190036;0,25065693;0,670554376;0,827102759;0,105084337;0,610973168;0,950340736;0,445787367;0,113718864;0,491794105;0;0,687534968;0,427629475
0,679108609;0,784851181;0,495542539;0,763065805;0,557938685;0,439148108;0,592177771;0,582331459;0,455227118;0,289128444;0;0,478305015;0,121468626
0,653148225;0,90357823;0,518490463;0,569465245;0,441268682;0,219083149;0,209069729;0,261580518;0,693596714;0,231477841;0;0,412045876;0,740077484
0,718668891;0,59240683;0,418312603;0,57287;0,632523771;0,405216206;0,2311244;0,386235233;0,383814616;0,335843622;0;0,425714933;0,550694135
0,803909851;0,303771543;0,198514483;0,287543633;0,329381033;0,622672077;0,026298133;0,565172832;0,303135237;0,588710651;0;0,549851269;0,507127736
0,233449275;0,464392524;0,089391252;0,555435842;0,274165307;0,3576823;0,764368185;0,839320176;0,450186004;0,366069788;0;0,123923633;0,684622557
0,350443532;0,774472326;0,106131302;0,267381872;0,402886179;0,618920157;0,55164902;0,531375524;0,352049642;0,425907112;0;0,40156899;0,673747798
0,339817552;0,629380683;0,189920447;0,397968691;0,281718642;0,382187823;0,101785238;0,49172329;0,506590517;0,746524091;0;0,37230915;0,256218692
0,575227772;0,733345855;0,225697058;0,575562869;0,398654184;0,621530839;0,152653137;0,634475058;0,490294191;0,64090816;0;0,28959855;0,136338381
0,499399537;0,604821084;0,37927276;0,412628386;0,623401713;0,489385872;0,18342808;0,536617836;0,374881795;0,542275346;0;0,310937613;0,220716697
0,470752485;0,931668786;0,825465239;0,585344141;0,51561097;0,342232703;0,735138645;0,119896237;0,244177744;0,890358264;0;0,508924625;0,668613446
0,267289055;0,692356731;0,317746417;0,580372947;0,515886127;0,197286456;0,67970461;0,378434475;0,337151631;0,560310312;0;0,395548132;0,093690305
0,482688914;0,47571552;0,654237212;0,699952577;0,53832437;0,556958237;0,043027062;0,198483641;0,572263946;0,584437213;0;0,521154522;0,372623336
0,25154795;0,268486691;0,415204268;0,475245398;0,368023709;0,406342552;0,140711756;0,727541097;0,453880655;0,652062852;0;0,357214181;0,187485057
0,598808044;0,373873797;0,349236003;0,654651398;0,579055054;0,49721393;0,465810276;0,445608518;0,31126514;0,381297003;0;0,651872272;0,671555166
0,463549378;0,534760818;0,404390246;0,450600493;0,447380522;0,57898018;0,660085097;0,672018782;0,690564406;0,60988724;0;0,16313645;0,313943446
0,507690774;0,537562601;0,252851401;0,591510447;0,257209959;0,61123437;0,436473068;0,391826705;0,491187296;0,529877303;0;0,324956041;0,311326234
0,714655784;0,720840897;0,865794667;0,045080172;0,688893045;0,676247706;0,432076365;0,21830513;0,539361526;0,543096433;0;0,333681617;0,670687212
0,508362434;0,732660835;0,233512643;0,050255854;0,42600436;0,610110895;0,286225419;0,744355863;0,497267372;0,65616754;0;0,486331759;0,638839162
0,534967909;0,409672789;0,223177413;0,940108098;0,571729472;0,358537355;0,1964035;0,537171393;0,243319566;0,880908544;0;0,388372733;0,220661546
0,58260712;0,26517261;0,312912304;0,470847161;0,3555258;0,571275393;0,565325225;0,57608271;0,310588093;0,62349538;0;0,497223574;0,20425161
0,297160654;0,417079163;0,591122583;0,407933896;0,305593716;0,30551954;0,293689818;0,366550235;0,483672188;0,428080129;0;0,336502226;0,810800686
0,627977817;0,353167586;0,963121269;0,357709731;0,408355426;0,690077308;0,190485851;0,604858146;0,53715834;0,475569511;0;0,827887128;0,407970453
0,651305731;0,956760539;0,39064124;0,604161699;0,592456433;0,559896298;0,42474616;0,721055125;0,414281794;0,344137358;0;0,1806635;0,392071944
0,513717255;0,571595727;0,583540042;0,626884853;0,506592938;0,553096521;0,195197423;0,339675507;0,362594274;0,60964618;0;0,348194614;0,680467463
0,464838028;0,335126066;0,502264607;0,582869929;0,413437618;0,560716891;0,333204088;0,316685365;0,388219852;0,720643343;0;0,519413539;0,358242885
0,907717191;0,505022882;0,012858511;0,294246038;0,371512029;0,89896871;0,27288104;0,609313645;0,286961862;0,777241266;0;0,73687258;0,391340913
0,451722249;0,410585091;0,579567291;0,429885488;0,114839184;0,486564507;0,27883848;0,604783007;0,340465962;0,5951476;0;0,612480172;0,229159589
0,418764822;0,43741303;0,221203148;0,227020882;0,592682504;0,189587119;0,613924677;0,470532857;0,373044911;0,490229518;0;0,837181717;0,465069333
0,413165565;0,45215445;0,429859975;0,356411604;0,486678377;0,649230575;0,587892558;0,552759172;0,532926076;0,40455502;0;0,230495082;0,730507237
0,570646758;0,856752738;0,430917456;0,155949766;0,876091544;0,431124211;0,093715544;0,977065183;0,900119604;0,935552634;0;0,331020884;0,872912281
0,287292388;0,861771648;0,41825965;0,544412532;0,446168821;0,78577838;0,28828625;0,449242568;0,340276333;0,682153617;0;0,291996621;0,562768712
0,456063102;0,588594412;0,688198983;0,261737831;0,595677276;0,400060539;0,676074657;0,479575874;0,454009727;0,334832142;0;0,477333259;0,132907793
0,590064887;0,609471569;0,47394726;0,135416834;0,3830061;0,376275013;0,450326161;0,625874389;0,56114302;0,507281865;0;0,53917538;0,557986549
0,198417045;0,564147219;0,612240928;0,481146838;0,121021286;0,692610251;0,127633893;0,455288065;0,364316507;0,326475038;0;0,549096524;0,535580737
0,499813729;0,714705129;0,551689887;0,615096385;0,645464451;0,514949262;0,594062433;0,289467564;0,210534209;0,654714247;0;0,163117619;0,571306306
0,307960509;0,647374887;0,383969798;0,533433377;0,60394918;0,553838314;0,189803956;0,926708977;0,09599802;0,413534949;0;0,374574481;0,340347359
0,648523013;0,735995276;0,572316629;0,584058033;0,441909156;0,212358222;0,789346821;0,334168814;0,172266459;0,337707872;0;0,617143013;0,520543616
0,478775203;0,423287974;0,675438401;0,602164063;0,485480093;0,822457479;0,67630153;0,379157063;0,178080923;0,391128582;0;0,876805441;0,59470557
0,707858811;0,127501699;0,494781906;0,690472137;0,353825626;0,291677584;0,46293721;0,515632451;0,630642621;0,784565012;0;0,39052023;0,207969179
0,520053423;0,875012568;0,296278734;0,300134121;0,337600031;0,558538288;0,428598199;0,511605153;0,488782942;0,746251779;0;0,081061177;0,658361666
0,467737235;0,628629108;0,527941912;0,477517743;0,353882754;0,561996578;0,246583685;0,419310043;0,508354236;0,517842434;0;0,492460595;0,273491001
0,370723992;0,585200941;0,548298918;0,301235579;0,715276943;0,417417926;0,169881712;0,59079318;0,327153761;0,594498241;0;0,025743541;0,41364349
0,836422458;0,481020275;0,2592114;0,626805979;0,622282894;0,434713482;0,784669524;0,27551638;0,211012544;0,483015063;0;0,399640297;0,686801627
0,677937199;0,2233429;0,6985823;0,716028819;0,193496655;0,502820449;0,905899276;0,529991677;0,440740212;0,479974603;0;0,428322;0,771235616
0,381452877;0,388441661;0,397989214;0,414274486;0,48604618;0,558755759;0,580924258;0,25397325;0,438330254;0,308175198;0;0,307398593;0,025269042
0,447069168;0,343683024;0,208112162;0,582818899;0,098000604;0,915739804;0,418757022;0,690451886;0,517546382;0,465720951;0;0,791225528;0,083802936
0,466772438;0,661228334;0,757087533;0,456267411;0,677028189;0,696349624;0,186093259;0,832606311;0,483784748;0,362549523;0;0,195124877;0,744877403
0,101284362;0,369493563;0,16543904;0,615322326;0,860029907;0,480591412;0,508564526;0,477687338;0,585154732;0,213398405;0;0,474473718;0,160184719
0,385897352;0,489204901;0,721067387;0,534846298;0,662984151;0,574543724;0,321999482;0,427936144;0,650173367;0,265069081;0;0,679144881;0,445757607
0,748254262;0,60376127;0,564397313;0,346933742;0,213822223;0,423408656;0,054758476;0,561122195;0,714118285;0,63167855;0;0,500653651;1
0,644276544;0,671315712;0,67197024;0,662413966;0,443252898;0,810136108;0,43372834;0,753584699;0,552632149;0,565748635;0;0,319253441;0,823209398
0,36246703;0,571147135;0,477249231;0,684840885;0,339662029;0,910405181;0,736432727;0,426620959;0,479612671;0,992801333;0;0,700125243;0,171566407
0,637049101;0,52539885;0,306755551;0,242624842;0,747002338;0,533001329;0,269020672;0,664775837;0,687388166;0,445834929;0;0,370932798;0,127829073
0,449838344;0,305998719;0,449455834;0,430772614;0,314759809;0,865515362;0,304913168;0,473687432;0,611587805;0,283728445;0;0,329400231;0,814486942
0,349449481;0,857580001;0,206813158;0,249497187;0,556594344;0,472710738;0,081251282;0,364114652;0,577008165;0,389689865;0;0,309128522;0,944011329
0,381350281;0,39733207;0,350648638;0,410883101;0,839005977;0,244644259;0,057280982;0,615045416;0,629690185;0,545383854;0;0,679952952;0,170502382
0,453797369;0,402979092;0,286303965;0,586272375;0,653874529;0,660323322;0,455552409;0,868860719;0,289372386;0,694003279;0;0,335085816;0,428070809
0,812938177;0,426541281;0,385186591;0,62163232;0,364411297;0,338265005;0,500511667;0,80092795;0,686061515;0,453240683;0;0,268670241;0,465319354
0,512329312;0,433511811;0,144328319;0,502563508;0,40237534;0,787608585;0;0,415602054;0,17536831;0,726247036;0;0,355380055;0,385186104
0,527102733;0,615680089;0,543745242;0,57650295;0,585589902;0,311225728;0,272326933;0,708706057;0,607632259;0,628661701;0;0,418836593;0,651173317
0,326424119;0,321309953;0,884731263;0,469753381;0,602325784;0,284216094;0,383557043;0,540548339;0,227917187;0,428545947;0;0,685007156;0,429671529
0,522341596;0,083868732;0,665580363;0,730087316;0,767891368;0,564140868;0,290522238;0,457704582;0,69119777;0,451062893;0;0,750943043;0,448276735
0,612038364;0,612026415;0,698530579;0,288670777;0,318535932;0,472686281;0,354799566;0,504438333;0,480506201;0,566728278;0;0,425981689;0,781554154
0,217561438;0,705682371;0,293992139;0,681191197;0,564760381;0,264377396;0,805635392;0,324840168;0,513342763;0,232566915;0;0,506110066;0,579114124
0,268476407;0,538642314;0,258405071;0,329001731;0,530559039;0,687424375;0,540133894;0,639099455;0,276013633;0,502515438;0;0,543614466;0,148671348
0,546920563;0,431178758;0,497983474;0,428741243;0,582380538;0,979630394;0,540919836;0,838448363;0,720105265;0,306137995;0;0,224502444;0,023641734
0,480226016;0,623036039;0,571517855;0,598167918;0,237225112;0,261715407;0,358707914;0,23510567;0,668039148;0,422593657;0;0,397220528;0,628899428
0,642841724;0,264900761;0,622091832;0,89954192;0,328654004;0,531850005;0,325110895;0,55822152;0,433361562;0,806043768;0;0,834881959;0,131635323
0,614391679;0,217587823;0,578896337;0,399398139;0,282855392;0,782838209;0,318696954;0,425177905;0,60737704;0,905698854;0;0,483087817;0,203638612
0,187567266;0,529491191;0,658208725;0,483861596;0,422098751;0,583231549;0,413088599;0,568158045;0,472020543;0,649728459;0;0,59218081;0,185208322
0,291854494;0,606664311;0,098925831;0,671919128;0,572279928;0,487438461;0,265009353;0,557975785;0,369112236;0,537006373;0;0,508338963;0,539887396
0,517250848;0,488959691;0,741120668;0,557651736;0,440729008;0,833520961;0,217507415;0,322788516;0,405425765;0,520693961;0;0,425969861;0,350740422
0,610978597;0,312055182;0,640432234;0,497133538;0,358149261;0,189831315;0,010668148;0,054699044;0,520383128;0,252080292;0;0,30501694;0,485087543
0,427434315;0,484076561;0,22140698;0,566497848;0,25841446;0,359029567;0,047833766;0,517217665;0,656047966;0,469271158;0;0,106206104;0,254786196
0,803277268;0,521179642;0,343101633;0,031182484;0,404184361;0,328715992;0,361089957;0,122373252;0,595915634;0,371288099;0;0,691046821;0,515570538
0,705926516;0,679988642;0,449968459;0,391882157;0,44806556;0,347585246;0,670620713;0,464529014;0,687998367;0,30575648;0;0,508400087;0,501430036
0,732683059;0,779743512;0,573245105;0,577772386;0,36558623;0,845989891;0,239542876;0,22154956;0,483493818;0,421780622;0;0,81050717;0,172530432
0,33454762;0,379984385;0,40631691;0,36855356;0,538109604;0,796269243;0,174257229;0,015160882;0,852208096;0,819389096;0;0,861245314;0,758362896
0,516081828;0,068921118;0,626206354;0,769637525;0,234429133;0,420464499;0,558871757;0,541578039;0,646166391;0,64625035;0;0,461590325;0,517922921
0,453301269;0,530448378;0,64896594;0,609800477;0,184971195;0,830461279;0,23601366;0,480848174;0,323435313;0,595473457;0;0,514146454;0,866643846
